TXN,MBB,,,,,,,,,
ACN,SCHD,,,,,,,,,
LMT,VBR,,,,,,,,,
MS,VV,,,,,,,,,
GS,MUB,,,,,,,,,
SLB,IVE,,,,,,,,,
UPS,ARKK,,,,,,,,,
QCOM,VT,,,,,,,,,
ADBE,MDY,,,,,,,,,
AVGO,SCHB,,,,,,,,,
CAT,QUAL,,,,,,,,,
PCLN,XLI,,,,,,,,,
USB,EMB,,,,,,,,,
PYPL,HYG,,,,,,,,,
KHC,SDY,,,,,,,,,
CHTR,SHY,,,,,,,,,
BLK,PFF,,,,,,,,,
LLY,XLY,,,,,,,,,
TMO,DGRO,,,,,,,,,
LOW,VGK,,,,,,,,,
COST,DVY,,,,,,,,,
AXP,SCHP,,,,,,,,,
CRM,ESGU,,,,,,,,,
SBUX,JPST,,,,,,,,,
CVS,IWN,,,,,,,,,
CELG,VXF,,,,,,,,,
TWX,GOVT,,,,,,,,,
PNC,ACWI,,,,,,,,,
WBA,SCHA,,,,,,,,,
SCHW,VLUE,,,,,,,,,
NEE,VBK,,,,,,,,,
BIIB,IWP,,,,,,,,,
CB,VHT,,,,,,,,,
FDX,VMBS,,,,,,,,,
DHR,SHV,,,,,,,,,
FOX,SCHG,,,,,,,,,
MDLZ,SLV,,,,,,,,,
COP,GDX,,,,,,,,,
GD,MTUM,,,,,,,,,
CL,TLT,,,,,,,,,
GM,EFV,,,,,,,,,
ANTM,BIV,,,,,,,,,
EOG,IUSB,,,,,,,,,
AMT,VOE,,,,,,,,,
AET,XLC,,,,,,,,,
RTN,IWS,,,,,,,,,
NOC,SCZ,,,,,,,,,
SYK,MINT,,,,,,,,,
AGN,VTIP,,,,,,,,,
BK,,,,,,,,,,
ITW,,,,,,,,,,
CME,,,,,,,,,,
AIG,,,,,,,,,,
OXY,,,,,,,,,,
MON,,,,,,,,,,
ATVI,,,,,,,,,,
DE,,,,,,,,,,
DUK,,,,,,,,,,
AMAT,,,,,,,,,,
BDX,,,,,,,,,,
MAR,,,,,,,,,,
ADP,,,,,,,,,,
EL,,,,,,,,,,
CCL,,,,,,,,,,
MET,,,,,,,,,,
MU,,,,,,,,,,
TJX,,,,,,,,,,
SPG,,,,,,,,,,
PSX,,,,,,,,,,
CI,,,,,,,,,,
COF,,,,,,,,,,
D,,,,,,,,,,
CSX,,,,,,,,,,
PRU,,,,,,,,,,
SPGI,,,,,,,,,,
CTSH,,,,,,,,,,
ISRG,,,,,,,,,,
